CustomerID,Name,Gender,Age,City,SignupDate,LastPurchaseDate,PurchaseAmount,FeedbackScore,Email,PhoneNumber,Country
CUST22,Carol Vincent,m,64 years,CHENNAI,2020-02-03,2025-10-04,41497.5,,bakersabrina@example.org,3484099583,UK
CUST23,Julia Stewart,,35,,2018-11-07,2025-10-29,38018.43,10.0,vwright@example.net,1038535267,uk
CUST24,Andrew Cabrera,m,69,CHENNAI,2023-07-30,,31871.5,6.0,marygriffin@example.net,2479559978,
CUST25,Jennifer Schultz,female,,,2016-01-28,2021-09-01,31888.98,5.0,michealdecker@example.net,5337361865,usa
CUST26,Ronnie Hardy,F,37.0,MUMBAI,2023-03-17,2022-02-28,23043.23,5.0,aprilvasquez@example.org,5767817543,australia
CUST27,Ronald West,M,36 years,,2017-11-08,2023-09-12,33349.96,7.0,susan18@example.org,3724036400,CANADA
CUST28,Audrey Aguirre,FEMALE,69 years,kolkata,2025-02-27,2021-08-22,12179.38,1.0,kimberly09@example.com,5236965597,InDia
CUST29,Mr. Jonathan Mullen,,42.0,KOLKATA,2018-11-15,2025-10-04,44196.83,7.0,jameschapman@example.org,3728801424,Canada
CUST30,Matthew White,male,68.0,hyderabad,2021-01-30,2023-08-26,47661.95,9.0,griley@example.com,5377826194,Australia
CUST31,Rachel Smith,M,19,,2021-10-16,2023-04-10,4855.98,9.0,rebecca39@example.org,0265883108,UK
CUST32,Thomas Rubio,male,31,DELHI,2017-09-09,2022-03-03,33675.18,10.0,christophergreen@example.org,1708069483,Usa
CUST33,Mark Rodriguez,female,47 years,delhi,2022-10-01,2023-10-20,7621.29,8.0,russellsuarez@example.net,6081101242,InDia
CUST34,Danielle Mcdonald,f,51,,2016-12-14,,2042.9,8.0,spencermelissa@example.org,3165359815,canada
CUST35,Caroline Wright,FEMALE,,Kolkata,2025-05-04,2023-09-02,0.01,9.0,hross@example.org,7379927671,
CUST36,Krystal Lee,m,59.0,,2018-02-16,2024-07-28,,8.0,rsmith@example.com,3319515059,usa
CUST37,Stephanie Davis,FEMALE,,,2018-08-28,2021-11-14,28773.28,6.0,brian19@example.net,6972247357,
CUST38,Miss Sylvia Clark,f,-1,Bangalore,2020-03-13,2022-02-27,2726.9,10.0,josephle@example.org,2483267552,australia
CUST39,Frank Allen,FEMALE,32,kolkata,2020-04-27,2021-04-07,36397.0,8.0,hamiltonbrian@example.org,2156343125,UK
CUST40,Stephanie Patterson,,,Delhi,2024-07-28,2023-05-22,3374.66,9.0,ronnie25@example.com,2002673316,UK
CUST41,Ryan Jackson,FEMALE,,chennai,2021-03-19,2021-03-16,36357.94,3.0,stewartshawn@example.com,3318254272,
CUST42,Michael Hays,F,51,KOLKATA,2024-11-14,2022-11-03,45014.92,10.0,harrismark@example.com,9909599301,uk
CUST43,Kristin Castro,female,21,Chennai,2024-12-24,2022-10-22,4901.33,9.0,christianmurphy@example.com,4828058417,Canada
CUST44,Victoria Mendoza,M,58,delhi,2021-06-12,2025-06-23,47125.64,2.0,jamie85@example.com,6551042891,india
CUST45,Kristin Taylor,female,18.0,mumbai,2025-05-11,2021-08-09,37679.58,9.0,emilykelly@example.com,1186305896,Uk
CUST46,Valerie Smith,F,,,2023-10-07,2023-07-02,20582.65,3.0,robertsonheather@example.org,6090966484,
,Daniel Coleman,M,,KOLKATA,2024-06-04,2025-10-03,39653.52,4.0,michelle60@example.org,9684218289,usa
CUST48,David Jensen MD,male,-8,kolkata,2019-07-31,2021-01-09,44721.49,8.0,jsanchez@example.com,6845103612,
CUST49,Kristine Robertson MD,female,,Delhi,2019-08-12,2025-03-29,14061.42,5.0,ibarrett@example.com,2504367536,Canada
CUST50,Joseph Day,,21,mumbai,2024-08-23,2025-03-10,42080.43,9.0,plee@example.com,5212217950,
,Travis Reese,male,21,KOLKATA,2018-04-15,2021-04-27,21105.17,9.0,zhoffman@example.net,7595176865,india
CUST52,Jesus Davis,female,28,Kolkata,2019-06-13,2023-08-15,10042.29,6.0,torrescatherine@example.org,6996422674,
CUST53,Darrell Davis,f,56,mumbai,2016-10-07,2025-04-15,40201.37,1.0,kathryn13@example.com,6202691787,uk
CUST54,Trevor Wilson,female,-2,Delhi,2017-04-25,2021-08-24,31977.58,8.0,smithchristian@example.org,1841785821,
CUST55,Linda Bryant,F,-6,KOLKATA,2020-04-02,2024-07-09,48378.27,5.0,alexander53@example.com,6017298711,australia
CUST56,Travis Norman,f,-4,DELHI,2021-10-19,2023-03-04,33362.4,9.0,crystaljimenez@example.net,2798582367,InDia
CUST57,Haley Holt,M,-9,Hyderabad,2020-01-07,2025-02-24,7203.76,8.0,anthony95@example.net,2121903289,INDIA
CUST58,Terri Allen,m,-9,KOLKATA,2018-10-15,2025-09-04,,2.0,patelcharles@example.org,0439508283,InDia
CUST59,Paul Fitzgerald,m,43 years,kolkata,2018-05-01,2021-11-01,40169.8,4.0,znichols@example.org,0184230735,
CUST60,Jared Shaffer,m,48.0,chennai,2017-04-16,2021-05-08,24790.11,,nellis@example.org,1895764351,InDia
CUST61,William Thompson,F,,mumbai,2021-12-05,2023-02-04,30814.67,3.0,cowantimothy@example.com,6313593781,INDIA
,Joseph Thompson,M,48,,2024-01-01,2022-06-09,28644.59,5.0,mcox@example.com,9920852906,India
CUST63,Jacqueline Brewer,male,61.0,,2025-05-10,,43929.89,,johnsongerald@example.org,6419281297,Usa
CUST64,Luis Boyd,m,-4,,2017-04-15,2024-01-11,7464.56,6.0,rodney28@example.com,4754688955,UK
CUST65,Cindy Jordan,FEMALE,,Kolkata,2016-05-28,2023-02-02,,10.0,michaelbarnett@example.org,8745648148,Australia
CUST66,Thomas Greer,FEMALE,53,,2024-09-21,2022-06-23,32995.62,7.0,kenneth59@example.org,1598785121,Uk
CUST67,Chad Russell,female,,,2020-12-03,,30171.85,1.0,lambertkeith@example.org,7329498830,InDia
CUST68,Miguel Wallace,FEMALE,59 years,Mumbai,2025-06-19,2020-12-11,10820.27,5.0,johnyoung@example.org,0245215774,australia
CUST69,Yvonne Yang,f,,,2017-12-11,,46740.89,5.0,egriffith@example.org,7322335715,India
CUST70,Kathryn Davis,M,20,delhi,2024-12-24,2023-05-25,39115.3,2.0,ufritz@example.org,1642973435,
CUST71,Courtney Baker,f,49.0,BANGALORE,2016-05-23,2022-01-23,13350.48,1.0,cynthiachase@example.org,8523131819,InDia
CUST72,Jorge Dalton,m,65,MUMBAI,2017-11-12,2025-08-19,39351.06,3.0,etorres@example.net,3811799910,AUSTRALIA
CUST73,Rachael Garner,female,,,2024-12-29,2024-02-08,35918.02,8.0,qanderson@example.com,0898724811,InDia
CUST74,Julia Smith MD,,62.0,bangalore,2022-01-16,2024-12-06,15767.81,9.0,cochranheather@example.org,5690825918,india
CUST75,Veronica Johnson,FEMALE,-5,Chennai,2021-07-09,2023-10-08,43742.9,3.0,deanna53@example.com,2464437567,usa
CUST76,David Boyd,FEMALE,,mumbai,2016-02-20,2025-10-06,8125.44,,swashington@example.net,2514027070,InDia
CUST77,Ana Lucas,F,,Hyderabad,2023-10-23,2025-03-16,20395.04,,kzavala@example.org,4495499885,InDia
CUST78,James Parker,f,-7,,2016-02-17,2021-08-17,44226.66,4.0,wwilson@example.net,0959087967,USA
CUST79,Pamela Moreno,female,,hyderabad,2018-01-29,2021-10-28,5778.35,2.0,zgrimes@example.net,6918392348,usa
CUST80,Antonio Russell,,61,,2023-08-18,2024-12-20,3324.77,9.0,amandaholt@example.com,2685854849,uk
CUST81,Patricia Alvarado,m,68.0,,2016-01-25,2020-12-19,23040.51,1.0,renee36@example.net,7799893616,USA
CUST82,Deanna Walker,female,,,2025-10-13,2024-06-17,4178.4,,renee12@example.com,5575469087,INDIA
CUST83,Anthony Warren,m,-9,HYDERABAD,2017-05-26,2025-02-05,6788.93,9.0,edwardsbailey@example.org,9276813704,
CUST84,Debra Robertson,M,,bangalore,2025-04-08,2023-12-24,2525.88,3.0,vanessa92@example.org,5139580860,
CUST85,Micheal Williams,f,,kolkata,2019-03-02,2023-10-01,7570.4,2.0,samanthaespinoza@example.net,3539699610,
CUST86,Kim Salinas,,27,hyderabad,2017-10-25,2022-11-06,28958.18,,bensonleslie@example.com,5403261918,INDIA
CUST87,Audrey Moreno,m,21,DELHI,2021-06-25,2025-06-22,25654.16,6.0,whitakerjoseph@example.com,3623114629,India
CUST88,Laurie Valencia,M,58 years,KOLKATA,2016-08-09,2021-06-27,5250.94,6.0,millerallen@example.net,1609762737,
CUST89,Jerry Sanchez,female,32 years,kolkata,2022-01-05,2025-02-09,31174.92,3.0,qkeith@example.net,6676312938,usa
CUST90,Spencer Hill,m,35 years,,2016-07-25,2023-02-10,33911.88,6.0,lorisandoval@example.org,1114176994,
CUST91,Kayla Martinez,m,23,BANGALORE,2020-07-28,2024-02-21,14640.35,2.0,joshuafox@example.org,6940314946,
CUST92,Cody Oliver,FEMALE,24.0,DELHI,2019-10-31,2024-06-02,2444.42,2.0,carlosrobinson@example.com,4054519436,india
CUST93,Mark Mccullough,,22,Chennai,2020-02-19,2025-08-20,,,yhenry@example.org,8445734334,Canada
CUST94,John Anderson,FEMALE,-5,,2023-01-06,2021-10-20,4535.87,2.0,billyli@example.com,5787482429,INDIA
CUST95,Elizabeth Skinner,m,-1,DELHI,2019-09-02,,27804.84,4.0,johnwhite@example.com,7284080517,InDia
CUST96,Kathryn Walker,,62 years,BANGALORE,2023-04-12,2021-02-28,,5.0,kingdorothy@example.org,6613998036,InDia
CUST97,Kimberly Brown,m,68 years,,2017-06-30,2021-06-17,,4.0,jimenezstacey@example.net,2702246582,Uk
CUST98,James Dodson,female,44.0,delhi,2022-04-16,2024-02-09,,5.0,richandrew@example.org,9122895838,
CUST99,Alyssa Kaiser,F,,BANGALORE,2023-02-27,2023-08-30,19990.51,7.0,stephanierichard@example.com,4899923349,UK
CUST100,Joseph Jimenez,f,-4,Kolkata,2024-01-02,2025-05-25,23329.46,10.0,brittanyfranco@example.org,0332363513,
CUST101,Tracey Houston,male,,chennai,2024-02-05,2021-11-23,31008.95,2.0,jeffreykelly@example.org,0959601274,USA
CUST102,Donna Pineda,female,,,2021-07-05,2023-12-16,,10.0,robert15@example.com,4291397850,Usa
CUST103,Tracy Miles,male,43 years,CHENNAI,2023-09-27,2022-05-22,14294.64,8.0,fosterlindsay@example.com,8309615415,Usa
CUST104,Hailey Walker,male,,Delhi,2017-06-21,2025-08-19,46297.2,4.0,sampsonjoanna@example.com,7039202495,UK
CUST105,Ashley Beck,,42,,2023-01-04,2023-09-23,21865.06,3.0,ibrown@example.net,5630665387,AUSTRALIA
CUST106,Michele Garza,m,63 years,hyderabad,2017-07-17,2023-07-01,30291.1,10.0,xfranklin@example.org,6779192978,
CUST107,Hannah Bryant,male,64,Mumbai,2020-12-03,2023-12-30,27367.29,,luiswoods@example.com,4353136261,Canada
CUST108,Kathleen Miles,M,45 years,delhi,2025-10-01,2025-06-02,20962.47,,pricejames@example.net,3572738672,InDia
CUST109,Sean Bond,F,,DELHI,2025-10-09,2024-04-17,36733.53,9.0,klopez@example.org,9522228922,InDia
CUST110,Christine Cooper,f,,DELHI,2025-05-31,2024-02-15,46726.18,9.0,zweaver@example.org,5942660839,Usa
CUST111,Allison Castillo,,64 years,,2018-12-04,,33433.73,10.0,evansjesus@example.net,3117938974,
CUST112,Travis Haynes,female,18 years,delhi,2016-09-10,2022-05-29,37894.16,6.0,michaelking@example.com,1081020618,canada
CUST113,Michael Lopez,male,-7,,2016-12-22,2021-07-13,3725.19,5.0,millerangela@example.net,3644320798,AUSTRALIA
CUST114,Andrew Harding,male,67,chennai,2018-07-29,2023-08-08,17433.71,2.0,wesley55@example.net,6786615815,UK
CUST115,Jessica Rivers,M,34.0,MUMBAI,2023-07-12,2023-12-19,49327.26,,josephcompton@example.org,0762892850,InDia
CUST116,William White,FEMALE,32.0,Delhi,2025-10-03,2025-05-26,17517.98,8.0,parkerjaime@example.org,8249023186,canada
CUST117,Kathryn Mccarthy,,-4,Mumbai,2016-05-30,2023-07-25,32752.07,10.0,brian56@example.com,9234391744,
,Carol Robinson,,68 years,delhi,2024-06-30,2021-10-02,41264.54,10.0,prodgers@example.com,0326346815,
CUST119,Alicia Reynolds,F,48.0,Delhi,2021-05-10,2023-06-05,26869.31,8.0,averyjeffrey@example.org,4597940756,
CUST120,Brian Jackson,F,38.0,MUMBAI,2021-03-14,2022-01-01,25706.59,5.0,joshuarose@example.net,6368295866,InDia
CUST121,Mr. Shawn Cannon,,61,hyderabad,2021-01-25,2020-12-29,38115.68,3.0,connieanthony@example.net,3302760526,INDIA
CUST122,Stephanie Strong,male,69.0,chennai,2019-06-12,2021-05-20,18596.81,5.0,ramirezjeffrey@example.org,4769966229,Uk
CUST123,Claire Davis,male,54.0,,2019-01-25,2021-04-15,30763.15,9.0,marissa78@example.org,9276178087,
CUST124,Tristan Cooper,,-1,Chennai,2025-11-15,,45633.16,,pgross@example.org,8136746103,CANADA
CUST125,Elizabeth Holmes,FEMALE,38.0,,2022-02-06,2025-07-22,42282.85,9.0,masonkathryn@example.org,2605322485,india
CUST126,Lauren Boyd,f,62,Chennai,2023-06-07,2022-02-26,27112.92,3.0,janetadams@example.net,1840226797,Uk
CUST127,Curtis Medina,FEMALE,35,Bangalore,2020-12-15,2023-03-29,16713.96,10.0,fmoody@example.com,2632284516,InDia
CUST128,Christopher Hernandez,male,61,MUMBAI,2022-06-14,2022-02-15,13512.65,3.0,aimee35@example.net,7843240365,canada
CUST129,Andrew Holland,f,,Bangalore,2019-06-09,2025-01-13,38991.78,8.0,bgallegos@example.org,3909518019,Uk
CUST130,Colleen Cole,female,,HYDERABAD,2025-06-10,2025-01-19,21875.48,4.0,amanda97@example.org,5634205770,
CUST131,Amanda Mullins,male,61,bangalore,2020-02-29,2024-02-03,44431.28,1.0,lewisbetty@example.com,4481164500,usa
CUST132,Christine Martinez,male,-9,,2021-10-26,2023-08-15,16855.42,9.0,michael09@example.org,7507476314,australia
CUST133,Andrea Holt,M,24 years,DELHI,2019-10-19,2022-11-18,47359.92,6.0,bairddonna@example.net,4791729963,CANADA
CUST134,Patricia Valenzuela,m,21 years,BANGALORE,2019-10-31,2023-04-07,40256.97,7.0,lperez@example.net,9642075560,Australia
CUST135,Haley Roberson,male,,,2018-07-01,2023-07-16,47046.61,,christophermckenzie@example.com,0438990018,india
CUST136,Eric Blackburn,FEMALE,56,mumbai,2021-01-20,,8794.7,,grant07@example.org,5264843988,australia
CUST137,Tyler Watson,m,53.0,Bangalore,2022-09-09,2021-03-27,27919.44,5.0,cindy33@example.org,9708345142,InDia
CUST138,Katherine Freeman,FEMALE,-2,,2020-03-02,2024-09-04,24983.9,7.0,yrice@example.com,0642152217,canada
CUST139,Victoria Rice,FEMALE,,mumbai,2023-07-23,2025-11-25,36628.79,8.0,davisbrian@example.org,9177332307,InDia
CUST140,Mario Graham,male,-9,bangalore,2018-10-19,2023-01-27,,5.0,cynthiaforbes@example.org,1959963671,Canada
CUST141,Paul Martin,female,,DELHI,2016-03-28,2024-09-30,23085.5,6.0,hunternicholas@example.com,1823257916,
CUST142,Justin Martinez III,FEMALE,,Mumbai,2024-02-07,,11420.36,10.0,perrysean@example.org,7840161812,Australia
CUST143,Ryan Banks,male,,,2019-07-09,2025-10-06,48402.1,3.0,morganlance@example.net,4715119696,UK
CUST144,Andrea Harding,female,48.0,mumbai,2022-10-01,2025-03-14,21174.05,2.0,penavalerie@example.com,4648182438,Usa
CUST145,Mitchell Conner,,44,Hyderabad,2018-08-10,2022-05-09,35893.97,9.0,melanie88@example.org,0277786394,CANADA
CUST146,Joel Williams,female,49.0,Kolkata,2019-12-30,,35977.91,10.0,anthonyrojas@example.com,2576483976,Australia
CUST147,Robert Graves,f,,DELHI,2019-09-05,2023-04-17,27923.85,5.0,samantha61@example.net,8667594172,AUSTRALIA
CUST148,Tammy Morales,M,33.0,,2017-11-19,2025-06-18,17979.33,,peterstark@example.net,8959472893,
CUST149,Robert Martin,male,56 years,Delhi,2020-10-08,2022-07-21,36065.58,4.0,christinabarr@example.org,2408890629,InDia
CUST150,Ronald Kirk,FEMALE,30 years,Delhi,2025-12-03,2021-04-06,11639.64,10.0,fsims@example.com,2870535115,
CUST151,Alexander Benson,m,-2,mumbai,2023-12-10,2022-09-10,18041.2,,lisavargas@example.net,5125035218,india
CUST152,Mackenzie Russell,,-10,MUMBAI,2019-11-16,,16151.59,9.0,mlamb@example.org,3415073863,uk
CUST153,Gregory Stephens,female,70,,2019-02-23,2021-08-26,5259.97,8.0,hernandezsarah@example.org,7626297975,Australia
CUST154,Andrew Vaughan,,29,MUMBAI,2024-02-13,2024-07-12,19721.78,4.0,ehubbard@example.net,7191804425,AUSTRALIA
CUST155,Ernest Knight,f,-5,Kolkata,2022-02-27,2024-08-15,3608.17,7.0,tiffanymcgee@example.net,5266447831,CANADA
CUST156,Stephanie Rangel,m,53.0,Chennai,2018-03-14,2021-12-31,14052.95,7.0,perrykelly@example.net,9252967153,Usa
CUST157,Stephanie Carlson,M,28.0,Bangalore,2021-06-28,2024-10-15,45155.82,3.0,brittney04@example.com,3526732378,
CUST158,Gerald Anderson,FEMALE,68 years,delhi,2023-05-08,2020-12-09,18795.28,9.0,choijulie@example.org,8802680325,InDia
CUST159,Brent Wells,female,,,2020-04-25,2025-03-14,,8.0,lindaduncan@example.org,0653785961,Canada
CUST160,Kevin Smith,male,65,CHENNAI,2019-04-20,2024-06-11,42110.85,6.0,shelly93@example.com,7700059957,Canada
CUST161,Andrew Green,FEMALE,22.0,mumbai,2022-12-27,2025-08-16,46103.7,2.0,jonathan75@example.com,0012325222,InDia
CUST162,Christy Wise,male,31,BANGALORE,2018-05-28,2024-05-14,36484.42,4.0,hoffmantonya@example.com,6735619219,canada
CUST163,Kevin Butler,male,30.0,Hyderabad,2019-01-12,,4126.12,1.0,xowen@example.net,5575020255,india
CUST164,April Thompson,male,57,,2025-02-26,,41565.33,,mathewsjeremy@example.net,1286288824,InDia
CUST165,Miguel Michael,F,46.0,Hyderabad,2021-06-09,,24178.73,5.0,ericfrost@example.org,5667114265,InDia
CUST166,Bernard Reynolds,,57,KOLKATA,2017-08-30,2025-06-01,21543.06,10.0,gary69@example.net,1262792933,India
CUST167,Alan Quinn,m,38,BANGALORE,2021-06-11,2024-05-02,999999.99,10.0,ghenderson@example.org,4964851462,canada
CUST168,Mary Osborne,M,28 years,mumbai,2023-05-29,2022-05-07,,8.0,nlyons@example.com,9186149792,India
CUST169,Laura Jones,F,21.0,MUMBAI,2024-11-08,2023-05-17,13804.68,9.0,idavid@example.com,1558356218,InDia
CUST170,Curtis Anderson,m,41.0,CHENNAI,2016-04-22,2021-10-24,6910.58,9.0,mileslynn@example.net,2389549128,Australia
CUST171,Brent Williams,female,,,2016-08-08,2024-10-04,26527.26,6.0,chadgardner@example.net,1160931992,Usa
CUST172,Kimberly Frye,m,35,,2017-03-08,2023-12-16,26232.72,4.0,daniel12@example.com,6999666159,australia
CUST173,Thomas Brooks,f,-6,,2023-01-16,2023-07-16,9719.98,8.0,mariah93@example.com,8035271200,india
CUST174,David Lopez,male,,DELHI,2018-05-21,2023-11-29,4446.11,10.0,sblake@example.com,4409842888,
CUST175,Brett Williams,,,HYDERABAD,2025-02-13,2023-04-29,34984.07,7.0,terrellzachary@example.org,2531410516,canada
CUST176,Nicole Wyatt,m,,,2021-04-03,,20582.44,2.0,award@example.com,2970528532,Australia
CUST177,Theresa Turner,male,34,chennai,2021-02-14,2022-07-21,37042.97,6.0,eric03@example.net,1995360637,InDia
CUST178,Joann Daniels,FEMALE,27.0,,2018-06-12,2021-02-06,39991.54,6.0,farmervictoria@example.net,0397606515,
CUST179,Teresa Powell,female,57,chennai,2017-12-21,2023-10-29,26878.28,6.0,steeletimothy@example.org,9439870721,australia
CUST180,Joshua Valencia,,31 years,Chennai,2025-11-28,,8619.9,,arocha@example.net,0338697258,india
CUST181,Jessica Savage,,,kolkata,2021-07-20,2025-07-31,37726.55,1.0,brandon98@example.org,7229447948,InDia
CUST182,Eric Bell,female,70,mumbai,2021-06-09,2022-01-26,18492.32,4.0,kimberly21@example.org,8458958221,canada
CUST183,Tracy Vasquez,f,44,chennai,2017-12-31,2021-02-20,40184.77,1.0,hernandezrobert@example.net,2263975016,india
CUST184,Kristen Maxwell,female,24 years,,2016-01-14,2021-05-13,34106.98,9.0,martinezwilliam@example.net,3641786406,
CUST185,Robin Deleon,F,19,hyderabad,2022-08-03,2021-12-10,2122.9,2.0,timothy03@example.net,1866378844,australia
CUST186,Ronald Jones,,,BANGALORE,2020-06-27,2021-11-12,21229.47,8.0,bbarrera@example.net,8482773839,InDia
CUST187,Amanda Hutchinson,f,47,Hyderabad,2021-01-30,2024-04-09,15012.42,1.0,brittany52@example.org,9766309037,Uk
CUST188,Roy Hernandez,FEMALE,,chennai,2019-01-12,2024-09-18,26546.01,6.0,john94@example.org,9044924207,USA
CUST189,Joshua Booker,m,,,2024-12-05,2023-05-12,44839.52,4.0,mark65@example.org,8673996704,
CUST190,Joseph Walker,,45 years,BANGALORE,2021-06-26,2025-10-14,30921.83,5.0,williamskinner@example.com,3952676921,InDia
CUST191,Joel Arias,f,24 years,HYDERABAD,2020-07-06,2025-09-25,44784.36,,nicoleking@example.org,8214183451,InDia
CUST192,Christopher Robinson,m,33.0,Bangalore,2024-09-28,,,4.0,halljoshua@example.net,9600105748,Canada
CUST193,Danielle Richardson,F,36,Bangalore,2020-12-21,2022-07-08,36308.64,7.0,qray@example.com,3184212147,USA
CUST194,Lisa Taylor,male,45 years,delhi,2023-05-31,2021-05-28,37234.4,6.0,laurenvasquez@example.org,2331686719,
CUST195,Troy Byrd,,36.0,bangalore,2023-12-16,2023-12-14,40314.21,5.0,bchristian@example.com,7301292450,Uk
CUST196,Sandra Galvan,M,51 years,,2025-01-31,2021-08-21,14586.41,10.0,kellybrown@example.net,3926694540,
,Julie Matthews,FEMALE,19.0,DELHI,2022-03-17,2025-06-10,7166.29,4.0,zamorakristopher@example.com,5924161144,InDia
CUST198,Patricia Miller,male,-5,kolkata,2020-08-24,2022-01-19,20588.8,4.0,facosta@example.org,1271005822,usa
CUST199,Jorge Estrada,male,69 years,bangalore,2016-11-20,2024-05-29,37371.09,8.0,tamarabrown@example.org,8978029013,AUSTRALIA
CUST200,John Grant,m,59,MUMBAI,2016-01-13,2024-12-12,5863.85,,jeffrey72@example.com,9807327966,InDia
CUST201,Jo Turner,male,65 years,Chennai,2025-08-02,2025-02-03,49235.43,9.0,christopherburke@example.net,1146491266,canada
CUST202,Terry Mack,female,31 years,mumbai,2021-01-06,2024-03-08,25856.74,4.0,johnathanhall@example.com,8489334686,uk
CUST203,Michael Lewis,male,49 years,,2024-10-16,2024-05-07,49399.4,2.0,xgray@example.org,9867427584,InDia
CUST204,Richard Smith,m,-9,,2018-09-16,2025-09-19,4794.5,4.0,sarahnovak@example.com,2228929024,usa
CUST205,Mary Burns,FEMALE,36.0,mumbai,2025-02-15,2022-04-29,43343.72,7.0,summersbrandon@example.net,5326457319,Uk
CUST206,Stephanie Lawson,female,32,hyderabad,2025-03-17,2022-08-17,5923.54,10.0,cjohnson@example.org,2604186332,usa
CUST207,Linda Nichols,F,25,CHENNAI,2025-05-26,2021-02-16,32582.75,1.0,amanda89@example.org,3944337107,CANADA
CUST208,Stephanie Hunt,M,33 years,chennai,2017-04-18,2022-07-13,33390.84,4.0,andrewwalsh@example.org,7571137619,InDia
CUST209,Megan Hill,,,hyderabad,2020-01-03,2022-12-31,10116.7,7.0,bakernatasha@example.com,3474344319,australia
CUST210,James Reeves,male,-7,,2018-05-31,2020-12-10,35860.24,4.0,frederickhunter@example.com,0593612782,india
CUST211,Austin Cooley,m,,,2023-05-16,2021-01-21,42230.16,7.0,johnsonbrittany@example.net,9982960970,
CUST212,Kristen Keller,f,-5,,2017-06-03,2022-10-16,49454.82,7.0,hmoore@example.org,1572642086,InDia
CUST213,Kenneth Garcia,f,58,chennai,2019-10-01,2022-05-13,17502.35,2.0,sherrylucero@example.net,5894353743,InDia
CUST214,Roy Castro,F,34 years,,2021-07-30,2023-05-20,35630.83,1.0,jbrennan@example.net,7688428749,Canada
CUST215,Benjamin Vargas,F,53,MUMBAI,2020-12-14,2024-07-20,26048.46,9.0,maria23@example.net,3293128828,canada
CUST216,Jim Rollins,female,19.0,BANGALORE,2023-04-24,2024-03-19,34614.46,3.0,veronica88@example.org,4631457413,Uk
CUST217,Matthew Singleton,f,-6,kolkata,2019-09-23,2021-12-08,47533.54,4.0,nathanhurley@example.org,8510270571,InDia
CUST218,Charles Kelly,male,32 years,Mumbai,2020-11-09,2023-12-31,,8.0,lisa85@example.org,6493876473,Australia
CUST219,Adam Duffy,M,-4,Kolkata,2016-04-11,2023-10-06,49030.3,10.0,ymarshall@example.org,3432757194,InDia
CUST220,Kaitlin Adams,,47 years,kolkata,2017-04-15,2021-04-20,41111.26,4.0,hardinbrian@example.com,8991167648,USA
